         664221 function calls (633126 primitive calls) in 0.980 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.979    0.979 <stdin>:1(<module>)
        1    0.001    0.001    0.979    0.979 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:335(grow_pop)
      100    0.016    0.000    0.978    0.010 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:379(mutation_wrapper)
      100    0.034    0.000    0.447    0.004 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:474(mutate_genome)
86483/55389    0.081    0.000    0.355    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      100    0.087    0.001    0.338    0.003 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:534(regulator_mutator)
     6019    0.034    0.000    0.321    0.000 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:512(point_mutate_codon)
    12238    0.110    0.000    0.186    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     6019    0.003    0.000    0.175    0.000 <__array_function__ internals>:2(setxor1d)
     6019    0.024    0.000    0.166    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/arraysetops.py:451(setxor1d)
    50738    0.158    0.000    0.158    0.000 {built-in method numpy.array}
      100    0.043    0.000    0.113    0.001 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:445(cod_pos)
    12038    0.004    0.000    0.103    0.000 <__array_function__ internals>:2(unique)
    12038    0.010    0.000    0.090    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/arraysetops.py:138(unique)
    12438    0.006    0.000    0.078    0.000 <__array_function__ internals>:2(prod)
    12038    0.064    0.000    0.077    0.000 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:323(translate_codon)
